Time,Name,Type,Destination
08:00,Vishal,Express,Mangalore
08:10,Vishal,Express,Mangalore
08:45,Sangam,"Local, UC",Padubidri
08:46,Vishal,Express,Mangalore
09:20,Mercy,Local,Mangalore
09:20,Navadurga Prasad,Express,Mangalore
09:30,Navadurga Prasad,Express,Mangalore
09:45,Vishal,Express,Mangalore
09:54,Christa Jyothi,Local,Udupi
09:58,Vishal,Express,Mangalore
09:59,Decent,Local,Udupi
10:05,Laxmi Ganesh,Express,Mangalore
10:11,Sangam,Local,Padubidri
10:18,Pranam,Local,Kateel
10:23,Christa Jyothi,Local,Udupi
10:26,Reshma,Express,Mangalore
10:36,Sangam,Fast Service - Local,Udupi
10:50,Padmambikaa,Express,Mangalore
11:08,Pranam,Local,Kateel
11:10,Padmambikaa,Express,Mangalore
11:20,Christa Kiran,Express,Mangalore
11:26,Naveen,Local,Udupi
11:28,Naveen,Local,Udupi
11:29,Vishal,Express,Mangalore
11:33,Naveen,Local,Udupi
11:36,Jason,Local,Mulki
11:40,Vishal,Express,Mangalore
11:44,Rashmi Travels,Local,Udupi via Kapu
11:51,Padmambikaa,Express,Mangalore
12:00,Navadurga Prasad,Express,Mangalore
12:09,Rajarajeshwari,Express,Mangalore
12:09,Shree Annapoorneshwari,Express,Mangalore
12:11,Srilaxmi,Local,Kateel
12:18,Naveen,Local,Udupi
12:25,Vishal,Express,Mangalore
12:33,Navadurga Prasad,Express,Mangalore
12:35,Vishal,Express,Mangalore
12:38,Shree Padma,Fast Service - Local,Udupi
12:45,Padmambikaa,Express,Mangalore
12:52,Shahil,Local,Udupi via Padubidri
12:56,Rajarajeshwari,Express,Mangalore
01:07,Christa Jyothi,Local,Udupi
01:10,Navadurga Prasad,Express,Mangalore
01:21,Vishal,Express,Mangalore
01:30,Kanthi,Local,Udupi
01:32,Vishal,Express,Mangalore
01:43,Kanthi,Local,Udupi
01:50,Bharathi,Local,Udupi
01:59,Laxmi Ganesh,Express,Mangalore
02:00,Vishal,"Express, UC",Mangalore
02:07,Sangam,Local,Mulki
02:10,Sangam,Local,Udupi
02:15,Laxmi Ganesh,Express,Mangalore
02:34,Pranam,Local,Kateel
02:37,Padmambikaa,Express,Mangalore
02:44,Navadurga Prasad,Express,Mangalore
02:55,Pranam,Local,Kateel
02:57,Padmambikaa,Express,Mangalore
03:05,Reshma,Express,Mangalore
03:12,Christa Jyothi,Local,Udupi
03:16,Star,"Local, UC",Udupi
03:20,Vishal,Express,Mangalore
03:31,Naveen,Local,Udupi
03:33,Vishal,Express,Mangalore
03:43,Sangam,Fast Service - Local,Padubidri
03:45,Naveen,Local,Udupi
03:48,Vishal,Express,Mangalore
03:54,Naveen,Local,Udupi
03:59,Padmambikaa,Express,Mangalore
04:10,Ayra,Express,Mangalore
04:19,Vishal,Express,Mangalore
04:25,Naveen,Local,Udupi
04:29,Vishal,Express,Mangalore
04:30,Bharathi,Express,Padubidri
04:35,Sai Ram,Fast Service - Local,Padubidri
04:41,Vishal,Express,Mangalore
04:49,Shree Padma,Local,Udupi via Kapu
04:56,Vishal,Express,Mangalore
05:02,Mercy,Local,Mangalore
05:05,Sangam,Local,Udupi
05:07,Navadurga Prasad,Express,Mangalore
05:20,Vishal,"Express, UC",Mangalore
05:21,Shree Padma,Local,Udupi
05:22,Navadurga Prasad,Express,Mangalore
05:38,Vishal,"Express, UC",Mangalore